iter	RMSE
0	9.310233188
1	7.818148196
2	6.573743811
3	5.606480951
4	4.837696634
5	4.233269911
6	3.771946008
7	3.460770503
8	3.193893174
9	2.996852664
10	2.84725754
11	2.726743751
12	2.629832651
13	2.54642393
14	2.48009696
15	2.409066298
16	2.360114966
17	2.318994221
18	2.281811499
19	2.2391411
20	2.211531644
21	2.181357589
22	2.151613766
23	2.124509919
24	2.108808474
25	2.08492991
26	2.06463198
27	2.045894148
28	2.019829366
29	1.999129279
30	1.985107797
31	1.970210771
32	1.950158828
33	1.932504262
34	1.908601576
35	1.889559082
36	1.874740897
37	1.858311254
38	1.844633221
39	1.825949966
40	1.802342755
41	1.785391089
42	1.76854726
43	1.748947132
44	1.732389573
45	1.719038115
46	1.701336189
47	1.68181097
48	1.668772998
49	1.651925407
50	1.639206799
51	1.623758151
52	1.611824738
53	1.599986726
54	1.589053215
55	1.577574569
56	1.562226019
57	1.548579532
58	1.535886011
59	1.526081435
60	1.515650187
61	1.504739889
62	1.495700735
63	1.487015638
64	1.47872458
65	1.470361413
66	1.458966331
67	1.449381934
68	1.43615679
69	1.418659695
70	1.408769962
71	1.399389116
72	1.390849212
73	1.38103461
74	1.370947679
75	1.363989768
76	1.35530511
77	1.34513401
78	1.331960521
79	1.32216748
80	1.31383274
81	1.30502253
82	1.297764558
83	1.290296668
84	1.283611241
85	1.274989693
86	1.265921857
87	1.258866614
88	1.249816739
89	1.244350123
90	1.237156759
91	1.221615224
92	1.216207901
93	1.204955441
94	1.199408624
95	1.191251131
96	1.185005929
97	1.178256783
98	1.173395576
99	1.16459881
100	1.158219612
101	1.153006542
102	1.148298805
103	1.136894628
104	1.128698104
105	1.118232074
106	1.113125015
107	1.109106555
108	1.102959195
109	1.095338208
110	1.089671686
111	1.079920524
112	1.074211121
113	1.069699567
114	1.064552125
115	1.058141395
116	1.051839598
117	1.044578096
118	1.038494989
119	1.032734169
120	1.027966052
121	1.024348469
122	1.019711718
123	1.011905858
124	1.006720102
125	1.001924859
126	0.9964001111
127	0.9892649501
128	0.9847804568
129	0.9793948543
130	0.9721448714
131	0.9678749263
132	0.9573184233
133	0.9535208753
134	0.9485715647
135	0.9437596549
136	0.9391952968
137	0.9343822521
138	0.9309178184
139	0.9256522355
140	0.9219300488
141	0.916642573
142	0.9122549675
143	0.9081267628
144	0.90355419
145	0.9009400247
146	0.8974300086
147	0.8938370228
148	0.8898506957
149	0.8848841266
150	0.8821074361
151	0.878864681
152	0.8747225891
153	0.869294948
154	0.8640724793
155	0.8590694991
156	0.8548643543
157	0.8499522209
158	0.8461993815
159	0.8429224299
160	0.8390102224
161	0.8351440395
162	0.8310240633
163	0.8276098793
164	0.8245428904
165	0.8195431272
166	0.8171972615
167	0.8138436492
168	0.8087538733
169	0.8055680826
170	0.8030724634
171	0.8001864037
172	0.796146092
173	0.7926574482
174	0.7899580537
175	0.7880173082
176	0.7845256903
177	0.7809011011
178	0.7772952487
179	0.775037779
180	0.7723328959
181	0.7693776169
182	0.7664704629
183	0.7636392013
184	0.7600038985
185	0.7571413862
186	0.7545750012
187	0.7518422664
188	0.7483831228
189	0.7450890067
190	0.7420779771
191	0.7393462852
192	0.7364769456
193	0.7330284817
194	0.7288409337
195	0.7250314389
196	0.7213087896
197	0.718533066
198	0.716012903
199	0.712232136
200	0.7099780029
201	0.7058515959
202	0.7035897555
203	0.6993910497
204	0.6964206009
205	0.6933324882
206	0.6893321484
207	0.6875932015
208	0.6851054994
209	0.6824025163
210	0.6789646857
211	0.6770015317
212	0.6749305073
213	0.6725193531
214	0.670245945
215	0.6682461772
216	0.6658724779
217	0.6626933815
218	0.660943228
219	0.6590210104
220	0.65681574
221	0.6537652419
222	0.6508612589
223	0.6477801797
224	0.6445973394
225	0.6422646465
226	0.640133667
227	0.6382554406
228	0.636395058
229	0.6342674501
230	0.6309161434
231	0.6295161628
232	0.6272296705
233	0.6237743001
234	0.6221734817
235	0.6202547419
236	0.617544205
237	0.6150325145
238	0.6128478789
239	0.6107681208
240	0.6094389741
241	0.6067820541
242	0.605167787
243	0.6029872311
244	0.6007996272
245	0.5985480823
246	0.5966317221
247	0.5950568133
248	0.5926672204
249	0.5903999833
250	0.5882631477
251	0.5856453334
252	0.5834809033
253	0.58149957
254	0.5786146639
255	0.5772631725
256	0.5736580844
257	0.5724891552
258	0.5692862349
259	0.567546898
260	0.5653386035
261	0.5636964399
262	0.5621540232
263	0.5610327601
264	0.5597256932
265	0.557830628
266	0.5559611152
267	0.5545230132
268	0.5532113299
269	0.5513976827
270	0.5489351779
271	0.5471968462
272	0.545605361
273	0.5433687584
274	0.5413342134
275	0.5398392269
276	0.5384168972
277	0.5371516861
278	0.5353934942
279	0.5330732278
280	0.5304159491
281	0.5280587046
282	0.5258281724
283	0.5244629877
284	0.5226119362
285	0.5209894605
286	0.5191679449
287	0.5174424922
288	0.516037164
289	0.5147673373
290	0.5136399657
291	0.5125244671
292	0.5109168808
293	0.509361569
294	0.5077147922
295	0.5056002968
296	0.5036817515
297	0.5023571383
298	0.5010818034
299	0.4996369735
300	0.4982290131
301	0.4967898051
302	0.4951139901
303	0.4937275489
304	0.491966799
305	0.4907486096
306	0.4895463432
307	0.4874707825
308	0.4861997502
309	0.4848190481
310	0.4821060465
311	0.4796886342
312	0.4785079341
313	0.4763022974
314	0.4751771942
315	0.4734669703
316	0.4715092976
317	0.4701964596
318	0.4692245684
319	0.4681364302
320	0.4668065849
321	0.4656866804
322	0.4641512735
323	0.4627450131
324	0.4616391776
325	0.4605246436
326	0.4592871224
327	0.4579570922
328	0.4566996843
329	0.4551889361
330	0.4536686472
331	0.4527634121
332	0.4517488568
333	0.4502313345
334	0.4487991792
335	0.447754377
336	0.4469725605
337	0.4454491838
338	0.4439881374
339	0.4426501793
340	0.441578865
341	0.4405476658
342	0.4387339863
343	0.4374587343
344	0.4360709396
345	0.434266911
346	0.4316239231
347	0.4301951353
348	0.4291469583
349	0.428162535
350	0.4262471705
351	0.4248767516
352	0.4234779796
353	0.422522427
354	0.4206354374
355	0.4191751239
356	0.4173074455
357	0.4160675865
358	0.4151414656
359	0.4139038895
360	0.4128508486
361	0.4121398609
362	0.4104752451
363	0.4092916598
364	0.4074628407
365	0.4067466638
366	0.4060653008
367	0.4052118417
368	0.4037258492
369	0.4030996168
370	0.4022650638
371	0.4006228649
372	0.399889289
373	0.3984335081
374	0.3968938224
375	0.3957415147
376	0.394692556
377	0.3940381912
378	0.3921488374
379	0.3910379167
380	0.3900943366
381	0.389074545
382	0.3878493457
383	0.3866494724
384	0.3853683451
385	0.3837416002
386	0.3825188585
387	0.3812866288
388	0.3801633297
389	0.3793527786
390	0.3785295893
391	0.3777731972
392	0.3767727519
393	0.3758495508
394	0.3747153082
395	0.3733021537
396	0.3721620354
397	0.3709963219
398	0.3698660822
399	0.3686278543
400	0.3676327689
401	0.3664621833
402	0.3651825625
403	0.3642351917
404	0.3631960222
405	0.3615407794
406	0.3607110662
407	0.3600352386
408	0.3595960343
409	0.3587317809
410	0.3579447254
411	0.3567069991
412	0.3551172085
413	0.35460279
414	0.3539310278
415	0.3531471333
416	0.3523736936
417	0.3516537809
418	0.350933913
419	0.3498963419
420	0.348732435
421	0.3480230123
422	0.347089524
423	0.346355604
424	0.3455382443
425	0.344712199
426	0.3438776876
427	0.3427461441
428	0.341856336
429	0.3409914944
430	0.3401982746
431	0.3392475229
432	0.3379470725
433	0.3374906228
434	0.3367034188
435	0.336014203
436	0.3354387907
437	0.3343863257
438	0.3336160959
439	0.3324377212
440	0.3316587081
441	0.3309230749
442	0.3302951949
443	0.3296348099
444	0.3285424786
445	0.3279428766
446	0.3271064088
447	0.3263931481
448	0.3256161291
449	0.3248728085
450	0.323954181
451	0.3233696055
452	0.322774293
453	0.32166004
454	0.3209813754
455	0.3202547198
456	0.3193700244
457	0.3189189485
458	0.3177766497
459	0.3172706983
460	0.3165592775
461	0.3155097156
462	0.3149745006
463	0.314249377
464	0.3134466297
465	0.3126279771
466	0.3119570741
467	0.3112917815
468	0.310172061
469	0.3097172259
470	0.308882482
471	0.3083851379
472	0.3079988392
473	0.3073268056
474	0.3067392958
475	0.3062118058
476	0.3056516961
477	0.3049514931
478	0.3040823675
479	0.303482136
480	0.3026933434
481	0.3019760539
482	0.3013301678
483	0.300010735
484	0.2993370932
485	0.2984650547
486	0.2978806021
487	0.2973991151
488	0.2968040554
489	0.295872659
490	0.2948183372
491	0.2938912199
492	0.2929565705
493	0.2924785135
494	0.2917135668
495	0.290984038
496	0.2903540618
497	0.289540725
498	0.2887710617
499	0.2879872402
